0662d0c5-db8b-4341-b6ad-c3718c90f23f,PMC001,PMC,Rahul Roy,Chennai,pmc@demo.local,9087654321,2025-09-04 09:55:30.777,2025-09-04 09:55:30.777,f,91
53ef4724-ed3c-486b-8199-072667e692f7,ARC001,Architect,Tejak Kumar,Chennai,architect@demo.local,8097654321,2025-09-04 09:55:30.779,2025-09-04 09:55:30.779,f,91
54b8be38-c468-49ff-90a5-60f7b8647de7,CUS001,Customer,Shweta Singh,Chennai,customer@demo.local,7098654321,2025-09-04 09:55:30.758,2025-09-04 09:55:30.758,f,91
5c277754-669b-4894-a076-4c1109d23573,HOD001,HOD (PMC),Anjuman,Chennai,hod.pmc@demo.local,"6098754321
",2025-09-04 09:55:30.784,2025-09-04 09:55:30.784,f,91
72393cb7-7f8a-449e-8783-449fb35288f3,PMT001,Ava-PMT,Ram Prasad,Chennai,pmt@demo.local,5098764321,2025-09-04 09:55:30.782,2025-09-04 09:55:30.782,f,91
910049d5-3886-433e-8f8c-6dec5635fc30,DSN001,Designer,Kirti Singh,Chennai,designer@demo.local,4098765321,2025-09-04 09:55:30.78,2025-09-04 09:55:30.78,f,91
d2a5d239-31c9-46de-9ecc-8d8c46c0697f,LEG001,Legal/Liaisoning,Kishori Lal,Chennai,legal@demo.local,3098765421,2025-09-04 09:55:30.781,2025-09-04 09:55:30.781,f,91
fe281c0e-0dfe-4ddf-964f-0fd3fd96cf90,CON001,Contractor,Kamal Kumar,Chennai,contractor@demo.local,2098765431,2025-09-04 09:55:30.78,2025-09-04 09:55:30.78,f,91
01c07976-22c3-4619-bc81-341e239ccb14,INSP01,Inspector (PMC),Anil Todak,Chennai,inspector.pmc@demo.local,1234567890,2025-09-04 09:55:30.783,2025-09-04 09:55:30.783,f,91
04a6cce8-5841-479a-a11a-39e204075851,ADM000,Admin,Super Admin,Chennai,superadmin@demo.local,9582704167,2025-09-08 18:17:05.48,2025-09-08 18:17:05.48,t,91
1147050a-a6c9-49c8-a70a-f00974780682,CUS002,Customer,Renu Dhar,Mumbai,renu.dhar@demo.local,9876098760,2025-09-11 06:40:58.944,2025-09-11 06:40:58.944,f,91
e2e23beb-d354-4494-ab6b-0b10f76b9719,LEG002,Legal/Liasoning,Niyam Kranti,New Delhi,niyam.kranti@demo.local,9999990000,2025-09-11 06:43:40.68,2025-09-11 06:43:40.68,f,91
e2391963-95ea-4874-997c-62f9ebf37806,ENG001,Engineer (Contractor),Kishan Ideawala,Ghaziabad,kishan.ideawala@demo.local,8899776660,2025-09-11 06:45:31.663,2025-09-11 06:45:31.663,f,91
092982c7-b146-46b1-8ccd-74ce87b018b3,DCC001,DC (Contractor),Kagaj Singh,Hoshiarpur,kagaj.singh@demo.local,9911223344,2025-09-11 06:46:39.264,2025-09-11 06:46:39.264,f,91
3cff022b-a76f-4e9b-a72d-e9b51bef9b55,DCP001,DC (PMC),Preetam Mann Chaudhary,Meerut,pmchaudhary@demo.local,9912345678,2025-09-11 06:47:46.246,2025-09-11 06:47:46.246,f,91
0a62037b-18aa-48d5-9280-5eeecfe606bc,CUS003,Customer,Kartar Singh Bedi,Ludhiana,ksd@demo.local,919923673263,2025-09-11 08:03:20.373,2025-09-11 08:03:20.373,f,91
